Timestamp,VOC(ug/m³),HCHO(ug/m³),PM2.5(ug/m³)
2025-03-27T11:27:36.242930,150,7,0
2025-03-27T11:27:36.244167,150,7,0
2025-03-27T11:27:37.537163,150,7,0
2025-03-27T11:27:38.823428,150,7,0
2025-03-27T11:27:40.105426,150,7,0
2025-03-27T11:27:40.106674,150,7,0
2025-03-27T11:27:41.418854,150,7,0
2025-03-27T11:27:42.709354,150,7,0
2025-03-27T11:27:44.030061,150,7,0
2025-03-27T11:27:45.348798,150,7,0
2025-03-27T11:27:45.350033,150,7,0
2025-03-27T11:27:46.674416,150,7,0
2025-03-27T11:27:47.987649,150,8,0
2025-03-27T11:27:49.321213,150,8,0
2025-03-27T11:27:49.322410,150,8,0
2025-03-27T11:27:50.656383,150,8,0
2025-03-27T11:27:51.982137,150,8,0
2025-03-27T11:27:53.328363,150,7,0
2025-03-27T11:27:53.329529,150,7,0
2025-03-27T11:27:54.667753,150,7,0
2025-03-27T11:27:56.006499,150,7,0
2025-03-27T11:27:57.342631,150,7,0
2025-03-27T11:27:57.345073,150,7,0
2025-03-27T11:27:58.673712,150,7,0
2025-03-27T11:28:00.024209,150,7,0
2025-03-27T11:28:01.394817,150,7,0
2025-03-27T11:28:01.396991,150,7,0
2025-03-27T11:28:02.811536,150,7,0
2025-03-27T11:28:04.207168,150,7,0
2025-03-27T11:28:04.208211,150,7,0
2025-03-27T11:28:05.551649,150,7,0
2025-03-27T11:28:06.923771,150,7,0
2025-03-27T11:28:08.298695,150,7,0
2025-03-27T11:28:08.299920,150,8,0
2025-03-27T11:28:09.658650,150,8,0
2025-03-27T11:28:11.032223,150,8,0
2025-03-27T11:28:12.418332,150,8,0
2025-03-27T11:28:12.420822,150,8,0
2025-03-27T11:28:13.809571,150,8,0
2025-03-27T11:28:15.202117,150,8,0
2025-03-27T11:28:15.203365,150,8,0
2025-03-27T11:28:16.599484,150,7,0
2025-03-27T11:28:17.965405,150,7,0
2025-03-27T11:28:19.373337,150,7,0
2025-03-27T11:28:19.374570,150,8,0
2025-03-27T11:28:20.754046,150,8,0
2025-03-27T11:28:22.136027,150,8,0
2025-03-27T11:28:23.531276,150,8,0
2025-03-27T11:28:23.533463,150,8,0
2025-03-27T11:28:24.934902,150,8,0
2025-03-27T11:28:26.356217,150,8,0
2025-03-27T11:28:26.357262,150,8,0
2025-03-27T11:28:27.767575,150,8,0
2025-03-27T11:28:29.178304,150,8,0
2025-03-27T11:28:30.605317,150,8,0
2025-03-27T11:28:30.606569,150,8,0
2025-03-27T11:28:32.023709,150,7,0
2025-03-27T11:28:33.452426,150,7,0
2025-03-27T11:28:33.453481,150,7,0
2025-03-27T11:28:34.897697,150,7,0
2025-03-27T11:28:36.347644,150,7,0
2025-03-27T11:28:36.349847,150,8,0
2025-03-27T11:28:37.793024,150,8,0
2025-03-27T11:28:39.255341,150,8,0
2025-03-27T11:28:39.263108,150,8,0
2025-03-27T11:28:40.723738,150,8,0
2025-03-27T11:28:42.177538,150,8,0
2025-03-27T11:28:43.624329,150,8,0
2025-03-27T11:28:43.625473,150,8,0
2025-03-27T11:28:45.091163,150,7,0
2025-03-27T11:28:46.544403,150,7,0
2025-03-27T11:28:46.545602,150,7,0
2025-03-27T11:28:48.023413,150,8,0
2025-03-27T11:28:49.493890,150,8,0
2025-03-27T11:28:49.494986,150,8,0
2025-03-27T11:28:50.976697,150,8,0
2025-03-27T11:28:52.459548,150,8,0
2025-03-27T11:28:52.460698,150,8,0
2025-03-27T11:28:53.950985,150,8,0
2025-03-27T11:28:55.431945,150,8,0
2025-03-27T11:28:55.433089,150,8,0
2025-03-27T11:28:56.923197,150,8,0
2025-03-27T11:28:58.423772,150,8,0
2025-03-27T11:28:58.424922,150,8,0
2025-03-27T11:28:59.934447,150,8,0
2025-03-27T11:29:01.460140,150,8,0
2025-03-27T11:29:01.461276,150,8,0
2025-03-27T11:29:02.972076,150,8,0
2025-03-27T11:29:04.480752,150,8,0
2025-03-27T11:29:04.481974,150,8,0
2025-03-27T11:29:06.011056,150,8,0
2025-03-27T11:29:07.525207,150,8,0
2025-03-27T11:29:07.526343,150,8,0
